pr_number,state,additions,deletions,changed_files,analysis_time_hours,description_length,participants_count,comments_count,repo
39314,merged,0,0,0,124.20694444444445,0,1,1,dbeaver/dbeaver
39296,merged,0,0,0,26.265,248,4,6,dbeaver/dbeaver
39288,closed,0,0,0,258.3202777777778,497,4,5,dbeaver/dbeaver
39282,merged,0,0,0,89.11,96,2,2,dbeaver/dbeaver
39277,closed,0,0,0,97.69222222222223,158,1,1,dbeaver/dbeaver
39275,closed,0,0,0,97.91694444444444,618,1,1,dbeaver/dbeaver
39271,merged,0,0,0,27.524166666666666,130,2,2,dbeaver/dbeaver
39260,merged,0,0,0,23.599444444444444,131,2,2,dbeaver/dbeaver
39259,merged,0,0,0,52.89833333333333,57,2,3,dbeaver/dbeaver
39247,merged,0,0,0,63.3425,85,2,3,dbeaver/dbeaver
39236,merged,0,0,0,410.6069444444444,430,4,5,dbeaver/dbeaver
39221,merged,0,0,0,21.330555555555556,0,1,2,dbeaver/dbeaver
39215,merged,0,0,0,335.8,0,1,2,dbeaver/dbeaver
39212,merged,0,0,0,341.39194444444445,251,4,8,dbeaver/dbeaver
39197,merged,0,0,0,262.0986111111111,132,3,5,dbeaver/dbeaver
39194,merged,0,0,0,433.20972222222224,0,1,1,dbeaver/dbeaver
39192,merged,0,0,0,100.4225,36,3,3,dbeaver/dbeaver
39189,merged,0,0,0,17.109166666666667,130,3,3,dbeaver/dbeaver
39186,merged,0,0,0,116.93916666666667,190,3,3,dbeaver/dbeaver
39181,merged,0,0,0,42.390277777777776,0,1,1,dbeaver/dbeaver
39180,merged,0,0,0,455.5758333333333,49,1,1,dbeaver/dbeaver
39177,merged,0,0,0,21.544722222222223,0,1,1,dbeaver/dbeaver
39176,merged,0,0,0,221.90916666666666,286,2,2,dbeaver/dbeaver
39174,merged,0,0,0,202.9525,0,3,3,dbeaver/dbeaver
39166,merged,0,0,0,189.2736111111111,0,1,1,dbeaver/dbeaver
39165,merged,0,0,0,165.4175,1185,3,5,dbeaver/dbeaver
39164,merged,0,0,0,358.51,0,1,1,dbeaver/dbeaver
39161,merged,0,0,0,93.84305555555555,10,2,2,dbeaver/dbeaver
39156,merged,0,0,0,147.9636111111111,855,3,3,dbeaver/dbeaver
39152,merged,0,0,0,142.9611111111111,23,2,2,dbeaver/dbeaver
39146,merged,0,0,0,461.3775,23,1,1,dbeaver/dbeaver
39145,merged,0,0,0,166.32111111111112,131,3,4,dbeaver/dbeaver
39144,merged,0,0,0,23.517777777777777,0,1,1,dbeaver/dbeaver
39142,merged,0,0,0,602.8794444444444,0,3,4,dbeaver/dbeaver
39141,merged,0,0,0,268.8352777777778,176,1,2,dbeaver/dbeaver
39137,merged,0,0,0,209.7313888888889,145,3,4,dbeaver/dbeaver
39135,merged,0,0,0,280.925,55,6,8,dbeaver/dbeaver
39132,merged,0,0,0,216.0361111111111,331,4,8,dbeaver/dbeaver
39128,merged,0,0,0,161.82611111111112,23,1,1,dbeaver/dbeaver
39126,merged,0,0,0,215.50444444444443,22,2,4,dbeaver/dbeaver
39125,merged,0,0,0,7.162222222222222,37,1,1,dbeaver/dbeaver
39123,merged,0,0,0,216.09777777777776,0,2,2,dbeaver/dbeaver
